,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
10616,0.587,0.41,1,-7.918,1,0.0255,0.852,0.609,0.151,0.507,80.162,audio_features,2yXfIhpNg9v3qS8w3XykPV,spotify:track:2yXfIhpNg9v3qS8w3XykPV,https://api.spotify.com/v1/tracks/2yXfIhpNg9v3qS8w3XykPV,https://api.spotify.com/v1/audio-analysis/2yXfIhpNg9v3qS8w3XykPV,159387,4,Is It Her?,Video Age,dreampop
10617,0.741,0.219,10,-11.878,0,0.0813,0.853,0.935,0.109,0.519,156.116,audio_features,76bqpXdcQBtnQw6ByKQjvO,spotify:track:76bqpXdcQBtnQw6ByKQjvO,https://api.spotify.com/v1/tracks/76bqpXdcQBtnQw6ByKQjvO,https://api.spotify.com/v1/audio-analysis/76bqpXdcQBtnQw6ByKQjvO,104620,4,Withu,Blvk,dreampop
10618,0.582,0.726,0,-4.174,0,0.116,0.271,0.0,0.227,0.768,100.45,audio_features,1HQHuPpr2s2z3VIBTLtUmv,spotify:track:1HQHuPpr2s2z3VIBTLtUmv,https://api.spotify.com/v1/tracks/1HQHuPpr2s2z3VIBTLtUmv,https://api.spotify.com/v1/audio-analysis/1HQHuPpr2s2z3VIBTLtUmv,231883,4,Like,BTS,dreampop
10619,0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,audio_features,0JL9TZip7mL7iwC5EOkALS,spotify:track:0JL9TZip7mL7iwC5EOkALS,https://api.spotify.com/v1/tracks/0JL9TZip7mL7iwC5EOkALS,https://api.spotify.com/v1/audio-analysis/0JL9TZip7mL7iwC5EOkALS,199160,4,Lady Brown (feat. Cise Starr from CYNE),Nujabes,dreampop
10620,0.695,0.306,0,-12.181,1,0.0562,0.917,0.399,0.0946,0.321,77.723,audio_features,3tF8h4Mm10GEUquvWhmmlj,spotify:track:3tF8h4Mm10GEUquvWhmmlj,https://api.spotify.com/v1/tracks/3tF8h4Mm10GEUquvWhmmlj,https://api.spotify.com/v1/audio-analysis/3tF8h4Mm10GEUquvWhmmlj,144118,4,June Gloom.,Prima,dreampop
10621,0.741,0.919,11,-4.715,0,0.196,0.00578,0.0136,0.123,0.592,119.982,audio_features,4q8sr39iXhWNffcpHXm6jR,spotify:track:4q8sr39iXhWNffcpHXm6jR,https://api.spotify.com/v1/tracks/4q8sr39iXhWNffcpHXm6jR,https://api.spotify.com/v1/audio-analysis/4q8sr39iXhWNffcpHXm6jR,168083,4,Babybaby No Yume,TANUKI,dreampop
10622,0.528,0.233,8,-15.362,1,0.0346,0.726,0.000108,0.122,0.208,89.044,audio_features,2kyVQg00pphEufGT59M2XH,spotify:track:2kyVQg00pphEufGT59M2XH,https://api.spotify.com/v1/tracks/2kyVQg00pphEufGT59M2XH,https://api.spotify.com/v1/audio-analysis/2kyVQg00pphEufGT59M2XH,273933,4,(They Long To Be) Close To You,Carpenters,dreampop
10623,0.379,0.343,10,-12.993,1,0.0385,0.806,0.0,0.0991,0.694,184.301,audio_features,1Ehdm1PDlKrdfyBsjwEvd1,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1,https://api.spotify.com/v1/tracks/1Ehdm1PDlKrdfyBsjwEvd1,https://api.spotify.com/v1/audio-analysis/1Ehdm1PDlKrdfyBsjwEvd1,179173,4,Top Of The World,Carpenters,dreampop
10624,0.79,0.735,10,-5.599,1,0.0558,0.00673,0.763,0.314,0.841,120.012,audio_features,4ymafeNWV2d0VNfGkmPqli,spotify:track:4ymafeNWV2d0VNfGkmPqli,https://api.spotify.com/v1/tracks/4ymafeNWV2d0VNfGkmPqli,https://api.spotify.com/v1/audio-analysis/4ymafeNWV2d0VNfGkmPqli,198750,4,Hi High,Future Girlfriend Music,dreampop
10625,0.761,0.723,7,-10.549,1,0.0313,0.126,0.000292,0.345,0.923,129.269,audio_features,0EA8k9iH93YEJFaBuRt7Tc,spotify:track:0EA8k9iH93YEJFaBuRt7Tc,https://api.spotify.com/v1/tracks/0EA8k9iH93YEJFaBuRt7Tc,https://api.spotify.com/v1/audio-analysis/0EA8k9iH93YEJFaBuRt7Tc,239529,4,Stumblin' In - 2017 Remaster,Suzi Quatro,dreampop
