,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
6798,0.715,0.505,8,-4.904,1,0.0303,0.0851,8.44e-05,0.0855,0.836,125.006,audio_features,0eydMimsKTNF7iaLM0p7Kd,spotify:track:0eydMimsKTNF7iaLM0p7Kd,https://api.spotify.com/v1/tracks/0eydMimsKTNF7iaLM0p7Kd,https://api.spotify.com/v1/audio-analysis/0eydMimsKTNF7iaLM0p7Kd,175320,4,Rock Melon,Gustafer Yellowgold,kids
6799,0.832,0.579,4,-9.68,0,0.0518,0.681,1.41e-05,0.0414,0.969,130.928,audio_features,1krKtVpFkssNdzlBjbWuON,spotify:track:1krKtVpFkssNdzlBjbWuON,https://api.spotify.com/v1/tracks/1krKtVpFkssNdzlBjbWuON,https://api.spotify.com/v1/audio-analysis/1krKtVpFkssNdzlBjbWuON,122000,4,Witch Doctor - Remastered 1999,Alvin & The Chipmunks,kids
6800,0.71,0.127,2,-10.932,1,0.0929,0.822,4.02e-06,0.1,0.364,67.243,audio_features,5BaU8x5WaZ41OQOGNrwXpE,spotify:track:5BaU8x5WaZ41OQOGNrwXpE,https://api.spotify.com/v1/tracks/5BaU8x5WaZ41OQOGNrwXpE,https://api.spotify.com/v1/audio-analysis/5BaU8x5WaZ41OQOGNrwXpE,163373,3,Moon Moon Moon,The Laurie Berkner Band,kids
6801,0.697,0.688,2,-8.469,1,0.0474,0.662,0.569,0.143,0.558,79.253,audio_features,1FqrxpHJiAR9jqixcLmE8l,spotify:track:1FqrxpHJiAR9jqixcLmE8l,https://api.spotify.com/v1/tracks/1FqrxpHJiAR9jqixcLmE8l,https://api.spotify.com/v1/audio-analysis/1FqrxpHJiAR9jqixcLmE8l,178933,4,Old Folks' Boogie,Al Simmons,kids
6802,0.605,0.304,1,-20.167,1,0.107,0.766,0.0204,0.356,0.678,143.729,audio_features,3ShItLsPzmXD0GGw8jnuP4,spotify:track:3ShItLsPzmXD0GGw8jnuP4,https://api.spotify.com/v1/tracks/3ShItLsPzmXD0GGw8jnuP4,https://api.spotify.com/v1/audio-analysis/3ShItLsPzmXD0GGw8jnuP4,140027,3,Casi-Casi (Almost-Almost),Suni Paz,kids
6803,0.683,0.525,0,-7.652,1,0.166,0.406,0.0,0.699,0.729,111.206,audio_features,0492IIwZ3Pq37ckkvEghw5,spotify:track:0492IIwZ3Pq37ckkvEghw5,https://api.spotify.com/v1/tracks/0492IIwZ3Pq37ckkvEghw5,https://api.spotify.com/v1/audio-analysis/0492IIwZ3Pq37ckkvEghw5,138573,4,My Name Is Daffy Dave,Daffy Dave,kids
6804,0.963,0.737,4,-6.232,0,0.0482,0.143,1.25e-06,0.119,0.551,126.642,audio_features,3D8JoB1xCsSt5tlwix7nce,spotify:track:3D8JoB1xCsSt5tlwix7nce,https://api.spotify.com/v1/tracks/3D8JoB1xCsSt5tlwix7nce,https://api.spotify.com/v1/audio-analysis/3D8JoB1xCsSt5tlwix7nce,279667,4,Ants,Banana Slug String Band,kids
6805,0.692,0.395,7,-11.434,1,0.0416,0.38,0.0,0.0634,0.746,90.378,audio_features,2t0Ci12vaJaYzEmsJL2S1X,spotify:track:2t0Ci12vaJaYzEmsJL2S1X,https://api.spotify.com/v1/tracks/2t0Ci12vaJaYzEmsJL2S1X,https://api.spotify.com/v1/audio-analysis/2t0Ci12vaJaYzEmsJL2S1X,157624,4,All I Want Is You,Barry Louis Polisar,kids
6806,0.744,0.736,7,-6.792,1,0.251,0.586,4.14e-06,0.309,0.853,158.359,audio_features,2BqDAUJBMCbNXf6y20PZpI,spotify:track:2BqDAUJBMCbNXf6y20PZpI,https://api.spotify.com/v1/tracks/2BqDAUJBMCbNXf6y20PZpI,https://api.spotify.com/v1/audio-analysis/2BqDAUJBMCbNXf6y20PZpI,329773,4,Ode to a Shower Door,Randy Kaplan,kids
6807,0.84,0.71,2,-6.342,1,0.0303,0.223,4.29e-06,0.0975,0.965,126.011,audio_features,4PWeFdquX9WxLQlMOnqeSH,spotify:track:4PWeFdquX9WxLQlMOnqeSH,https://api.spotify.com/v1/tracks/4PWeFdquX9WxLQlMOnqeSH,https://api.spotify.com/v1/audio-analysis/4PWeFdquX9WxLQlMOnqeSH,130560,4,His Banner Over Me Is Love,Cedarmont Kids,kids
